spcd,common_name,genus,species
7409,seaside mahoe,Hibiscus,pernambucensis
7410,shoeblackplant,Hibiscus,rosa-sinensis
7411,rosemallow,Hibiscus,spp.
7412,sea hibiscus,Hibiscus,tiliaceus
7413,white Kauai rosemallow,Hibiscus,waimeae
7418,teta de burra cinarron,Hirtella,rugosa
7420,pigeonberry,Hirtella,triandra
7422,white cogwood,Homalium,racemosum
7424,Homalium whitmeeanum,Homalium,whitmeeanum
7427,"chemeklachel, eumail",Horsfieldia,amklaal
7428,ersachel,Horsfieldia,novoguineensis
7429,Horsfieldia nunu,Horsfieldia,nunu
7430,chersachel,Horsfieldia,palauensis
7431,Horsfieldia,Horsfieldia,spp.
7432,Japanese raisintree,Hovenia,dulcis
7434,sandbox tree,Hura,crepitans
7438,cedro macho,Hyeronima,clusioides
7440,nightblooming cactus,Hylocereus,spp.
7441,nightblooming cactus,Hylocereus,undatus
7442,stinkingtoe,Hymenaea,courbaril
7445,inkwood,Hypelate,trifoliata
7446,limestone snakevine,Hyperbaena,laurifolia
7448,Canary Island St. Johnswort,Hypericum,canariense
7453,Hawaii holly,Ilex,anomala
7454,English holly,Ilex,aquifolium
7455,dahoon,Ilex,cassine
7456,te,Ilex,cookii
7457,maconcona,Ilex,guianensis
7458,Caribbean holly,Ilex,macfadyenii
7459,Puerto Rico holly,Ilex,nitida
7460,mate,Ilex,paraguariensis
7462,gongolin,Ilex,sideroxyloides
7463,Sintenis' holly,Ilex,sintenisii
7464,holly,Ilex,spp.
7465,Urban's holly,Ilex,urbaniana
7466,Ilex urbaniana,Ilex,urbaniana
7467,inga,Inga,spp.
7469,yaupon,Ilex,vomitoria
7470,sacky sac bean,Inga,laurina
7471,Inga nobilis,Inga,nobilis
7472,ice cream bean,Inga,edulis
7474,river koko,Inga,vera
7475,ifi,Inocarpus,fagifer
7477,ifilele,Intsia,bijuga
7479,palo de hierro,Ixora,ferrea
7481,white jungleflame,Ixora,thwaitesii
7482,black poui,Jacaranda,mimosifolia
7483,jacaranda,Jacaranda,spp.
7485,braceletwood,Jacquinia,armillaris
7487,bois bande,Jacquinia,berteroi
7489,Chinese juniper,Juniperus,chinensis
7490,chirriador,Jacquinia,umbellata
7491,Barbados nut,Jatropha,curcas
7492,wild oilnut,Jatropha,hernandiifolia
7493,coralbush,Jatropha,multifida
7494,nettlespurge,Jatropha,spp.
7495,West Indian walnut,Juglans,jamaicensis
7496,English walnut,Juglans,regia
7497,ketoguit,Kayea,pacifica
7499,Khaya anthotheca,Khaya,anthotheca
7501,Senegal mahogany,Khaya,senegalensis
7503,Kigelia africana,Kigelia,africana
7506,guest tree,Kleinhovia,hospita
7507,goldenrain tree,Koelreuteria,bipinnata
7508,Koanophyllon polyodon,Koanophyllon,polyodon
7509,Molokai treecotton,Kokia,cookei
7510,Hawaii treecotton,Kokia,drynarioides
7511,Kauai treecotton,Kokia,kauaiensis
7512,Wailupe Valley treecotton,Kokia,lanceolata
7513,treecotton,Kokia,spp.
7514,leadwood,Krugiodendron,ferreum
7515,goldenrain tree,Koelreuteria,paniculata
7516,burgan,Kunzea,ericoides
7517,Kunzea,Kunzea,spp.
7518,summit labordia,Labordia,fagraeoidea
7519,bog labordia,Labordia,hedyosmifolia
7520,mountain labordia,Labordia,hirtella
7521,Waianae Range labordia,Labordia,kaalae
7522,Wahiawa Mountain labordia,Labordia,lydgatei
7523,labordia,Labordia,spp.
7524,paleflower labordia,Labordia,tinifolia
7528,Lanai labordia,Labordia,triflora
7529,Nevada peavine,Labordia,waiolani
7530,cuero de rana,Laetia,procera
7531,golden chain tree,Laburnum,anagyroides
7532,crapemyrtle,Lagerstroemia,indica
7533,pride of India,Lagerstroemia,speciosa
7539,Langsat,Lansium,domesticum
7541,nino de cota,Laplacea,portoricensis
7543,bluelatan,Latania,loddigesii
7550,henna,Lawsonia,inermis
7552,Krug's roughleaf,Leandra,krugiana
7556,pitahaya,Leptocereus,quadricostatus
7558,large-leaf yellow teatree,Leptospermum,morrisonii
7559,common teatree,Leptospermum,petersonii
7560,common teatree,Leptospermum,polygalifolim
7561,broom teatree,Leptospermum,scoparium
7562,teatree,Leptospermum,spp.
7564,Leucaena insularum,Leucaena,insularum
7565,white leadtree,Leucaena,leucocephala
7566,leadtree,Leucaena,spp.
7567,littleleaf leadtree,Leucaena,retusa
7569,Maria laurel,Licaria,brittoniana
7570,Puerto Rico cinnamon,Licaria,parvifolia
7571,Oriental sweetgum,Liquidambar,orientalis
7573,pepperleaf sweetwood,Licaria,triandra
7574,Amur privet,Ligustrum,amurense
7575,Chinese privet,Ligustrum,sinense
7576,privet,Ligustrum,spp.
7577,Japanese privet,Ligustrum,japonicum
7578,glossy privet,Ligustrum,lucidum
7579,California privet,Ligustrum,ovalifolium
7580,southern spicebush,Lindera,melissifolia
7583,Lychee,Litchi,chinensis
7586,papaono,Litsea,samoensis
7587,Litsea,Litsea,spp.
7588,fountain palm,Livistona,chinensis
7590,geno geno,Lonchocarpus,domingensis
7591,geno,Lonchocarpus,glaucifolius
7592,broadleaf lancepod,Lonchocarpus,heptaphyllus
7593,Amur honeysuckle,Lonicera,maackii
7595,vinegartree,Lophostemon,confertus
7598,Egg Fruit / Canistel,Lucuma,nervosa
7600,luehea,Luehea,speciosa
7602,"bakauaine, nana",Lumnitzera,littorea
7604,lunania,Lunania,spp.
7606,Lunania ekmanii,Lunania,ekmanii
7608,St. Thomas staggerbush,Lyonia,rubiginosa
7614,"macadamia nut tree, pengua",Macadamia,integrifolia
7616,Macadamia,Macadamia,spp.
7617,Macadamia Nut,Macadamia,tetraphylla
7618,bedel,Macaranga,carolinensis
7619,Macaranga grayana,Macaranga,grayana
7620,lau pata,Macaranga,harveyana
7621,pengua,Macaranga,mappa
7623,macaranga,Macaranga,spp.
7625,lau fatu,Macaranga,stipulosa
7626,parasol leaf tree,Macaranga,tanarius
7627,Macaranga thompsonii,Macaranga,thompsonii
7628,palo de hoz,Machaerium,lunatum
7630,Puerto Rico alfilerillo,Machaonia,portoricensis
7632,Maclura tinctoria,Maclura,tinctoria
7633,umbrella-tree,Maesopsis,eminii
7635,Puerto Rico magnolia,Magnolia,portoricensis
7636,laurel magnolia,Magnolia,splendens
7637,Oyama magnolia,Magnolia,seboldii
7638,Mallotus palauensis,Mallotus,palauensis
7639,kamala tree,Mallotus,philippensis
7641,mallotus,Mallotus,spp.
7642,Mallotus tiliifolius,Mallotus,tiliifolius
7643,Singapore holly,Malpighia,coccigera
7644,Barbados cherry,Malpighia,emarginata
7645,palo bronco,Malpighia,fucata
7646,wild crapemyrtle,Malpighia,glabra
7647,cowhage cherry,Malpighia,infestissima
7648,bastard cherry,Malpighia,linearis
7649,Siberian crab apple,Malus,baccata
7650,Japanese flowering crab apple,Malus,floribunda
7651,paradise apple,Malus,pumila
7652,mammee apple,Mammea,americana
7653,manapau,Mammea,glauca
7654,chopak,Mammea,odorata
7655,Mammea,Mammea,spp.
7657,kanit,Mangifera,minor
7658,saipan mango,Mangifera,odorata
7659,mango,Mangifera,spp.
7660,ceara rubbertree,Manihot,glaziovii
7661,manihot,Manihot,spp.
7662,bulletwood,Manilkara,bidentata
7663,Surinam bulletwood,Manilkara,bidentata
7664,pani,Manilkara,dissecta
7666,kohle,Manilkara,hoshinoi
7667,wild dilly,Manilkara,jaimiqui
7669,zapote de costa,Manilkara,pleeana
7671,Manilkara,Manilkara,spp.
7672,udeuid,Manilkara,udoido
7673,nisperillo,Manilkara,valenzuela
7674,sapodilla,Manilkara,zapota
7677,palo de cana,Mappia,racemosa
7679,"bkau, apgau",Maranthes,corymbosa
7680,dermarm,Marattia,fraxinea
7682,bastard hogberry,Margaritaria,nobilis
7684,beruquillo,Marlierea,sintenisii
7688,Matayba apetala,Matayba,apetala
7689,negra lora,Matayba,domingensis
7694,mayten,Maytenus,boaria
7695,Caribbean mayten,Maytenus,cymosa
7697,Puerto Rico mayten,Maytenus,elongata
7698,white cinnamon,Maytenus,laevigata
7699,ponce mayten,Maytenus,ponceana
7700,luluhut,Maytenus,thompsonii
7702,Mecranium latifolium,Mecranium,latifolium
7704,Medusanthera carolinensis,Medusanthera,carolinensis
7705,matamo,Medusanthera,samoensis
7706,Medusanthera,Medusanthera,spp.
7709,melaleuca,Melaleuca,spp.
7710,alom,Melanolepis,multiglandulosa
7712,Melastoma candidum,Melastoma,candidum
7713,Melastoma sanguineum,Melastoma,sanguineum
7715,cajeput tree,Melaleuca,linariifolia
7716,melia,Melia,spp.
7717,Spanish lime,Melicoccus,bijugatus
7719,mokihana,Melicope,anisata
7720,Ballous melicope,Melicope,balloui
7721,uahiapele,Melicope,barbigera
7722,Waianae Range melicope,Melicope,christophersenii
7723,manena,Melicope,cinerea
7724,kukaemoa,Melicope,clusiifolia
7725,piloula,Melicope,cruciata
7726,leiohiiaka,Melicope,elliptica
7727,Haleakala melicope,Melicope,haleakalae
7728,Haupa Mountain melicope,Melicope,haupuensis
7729,mokihana kukae moa,Melicope,hawaiensis
7730,Monoa melicope,Melicope,hiiakae
7731,Honolulu melicope,Melicope,hosakae
7732,Kaala melicope,Melicope,kaalaensis
7733,Olokele Valley melicope,Melicope,knudsenii
7734,Kaholuamanu melicope,Melicope,macropus
7735,Makaha Valley melicope,Melicope,makahae
7736,Molokai melicope,Melicope,molokaiensis
7737,alani,Melicope,mucronulata
7738,Oahu melicope,Melicope,oahuensis
7739,Makawao melicope,Melicope,obovata
7740,Honokahua melicope,Melicope,orbicularis
7741,Hana melicope,Melicope,ovalis
7742,eggshape melicope,Melicope,ovata
7743,pale melicope,Melicope,pallida
7744,Lihue melicope,Melicope,paniculata
7745,boxfruit alani,Melicope,peduncularis
7746,Kohala Summit melicope,Melicope,pseudoanisata
7747,hairy melicope,Melicope,puberula
7748,fourangle melicope,Melicope,quadrangularis
7749,kapu melicope,Melicope,radiata
7750,soopini,Melicope,latifolia
7751,roundleaf melicope,Melicope,rotundifolia
7752,St. Johns melicope,Melicope,saint-johnii
7753,Mt. Kaala melicope,Melicope,sandwicensis
7754,melicope,Melicope,spp.
7755,volcanic melicope,Melicope,volcanica
7756,alani wai,Melicope,waialealae
7757,Monoa melicope,Melicope,wawraeana
7758,kipuka piaula,Melicope,zahlbruckneri
7759,samoensis,Melicytus,samoensis
7763,aguacatillo,Meliosma,herbertii
7764,cacaillo,Meliosma,obtusifolia
7766,mao,Melochia,aristata
7767,melochia,Melochia,spp.
7768,teabush,Melochia,tomentosa
7769,hierba del soldado,Melochia,umbellata
7770,sayafe spp.,Melochia,villosissima
7771,sayafe,Melochia,villosissima
7774,faniok,Merrilliodendron,megacarpum
7776,fagufagu,Meryta,macrophylla
7777,omechidel,Meryta,senfftiana
7778,Meryta,Meryta,spp.
7779,dawn redwood,Metasequoia,glyptostroboides
7781,collina,Metrosideros,collina
7782,ohia,Metrosideros,macropus
7783,ohia lehua,Metrosideros,polymorpha
7792,lehua papa,Metrosideros,rugosa
7793,lehua,Metrosideros,spp.
7794,lehua ahihi,Metrosideros,tremuloides
7795,Kauai bottlebrush,Metrosideros,waialealae
7798,ivory-nut palm,Metroxylon,amicarum
7799,sago palm,Metroxylon,sagu
7800,Metroxylon,Metroxylon,spp.
7801,Orange Champak,Michelia,champaca
7803,hairy johnnyberry,Miconia,lanata
7804,saquiyac,Miconia,affinis
7805,velvet tree,Miconia,calvescens
7806,Puerto Rico johnnyberry,Miconia,foveolata
7807,camasey de costilla,Miconia,impetiolaris
7808,smooth johnnyberry,Miconia,laevigata
7810,camasey cuatrocanales,Miconia,mirabilis
7812,camasey racimoso,Miconia,pachyphylla
7813,granadillo bobo,Miconia,prasina
7814,auquey,Miconia,punctata
7815,ridge johnnyberry,Miconia,pycnoneura
7816,camasey felpa,Miconia,racemosa
7817,peralejo,Miconia,rubiginosa
7818,jau jau,Miconia,serrulata
7819,mountain johnnyberry,Miconia,sintenisii
7821,forest johnnyberry,Miconia,subcorymbosa
7822,rajador,Miconia,tetrandra
7823,camasey tomaso,Miconia,thomasiana
7824,talafulu,Micromelum,minutum
7828,caimitillo verde,Micropholis,garciniifolia
7829,Micropholis guyanensis,Micropholis,guyanensis
7831,pinnata,Millettia,pinnata
7833,elegant mimosa,Mimosa,arenosa
7835,"bulletwood, elengi",Mimusops,elengi
7839,monodora,Monodora,spp.
7841,treedaisy,Montanoa,hibiscifolia
7842,montanoa,Montanoa,spp.
7845,Morella cerifera,Morella,cerifera
7846,firetree,Morella,faya
7847,Morella holdridgeana,Morella,holdridgeana
7848,bayberry,Morella,spp.
7849,Indian mulberry,Morinda,citrifolia
7850,ngel,Morinda,latibractea
7851,Morinda pedunculata,Morinda,pedunculata
7852,morinda,Morinda,spp.
7853,noni kuahiwi,Morinda,trimera
7855,horseradishtree,Moringa,oleifera
7857,ratapple,Morisonia,americana
7861,ngaio tree,Myoporum,laetum
7862,murta,Mouriri,domingensis
7863,mameyuelo,Mouriri,helleri
7865,falseohe,Munroidendron,racemosum
7867,strawberrytree,Muntingia,calabura
7868,muntingia,Muntingia,spp.
7869,Murraya exotica,Murraya,exotica
7870,Murraya koenigii,Murraya,koenigii
7872,French plantain,Musa,paradisiaca
7873,bungeltuu,Musa,coccinea
7874,tama,Musa,nana
7875,tuu banana,Musa,sapientum
7876,meia,Musa,spp.
7877,blantalos,Musa,textilis
7878,tikap,Musa,tikap
7879,fei banana,Musa,troglodytarum
7880,Mussaenda frondosa,Mussaenda,frondosa
7881,aloalo vao,Mussaenda,raiateensis
7882,Mussaenda,Mussaenda,spp.
7883,naio,Myoporum,sandwicense
7884,myoporum,Myoporum,spp.
7886,red rodwood,Myrcia,citrifolia
7887,cieneguillo,Myrcia,deflexa
7888,curame,Myrcia,fallax
7889,guayabacon,Myrcia,leptoclada
7890,ausu,Myrcia,paganii
7891,punchberry,Myrcia,splendens
7892,rodwood,Myrcia,spp.
7893,twinberry,Myrcianthes,fragrans
7894,jaboticaba,Myrciaria,cauliflora
7895,guavaberry,Myrciaria,floribunda
7899,"yamamomo, strawberry tree",Myrica,rubra
7900,sweetgale,Myrica,spp.
7902,atoneulu,Myristica,hypargyraea
7903,adepurot,Myristica,insularis
7904,Myristica,Myristica,spp.
7905,cercipo,Myrospermum,frutescens
7906,Myristica inutilis,Myristica,inutilis
7907,balsam of Tolu,Myroxylon,balsamum
7910,forest colicwood,Myrsine,alyxifolia
7911,leathery colicwood,Myrsine,coriacea
7912,Myrsine cubana,Myrsine,cubana
7913,summit colicwood,Myrsine,degeneri
7914,mountain colicwood,Myrsine,emarginata
7915,streambank colicwood,Myrsine,fernseei
7916,Koolau Range colicwood,Myrsine,fosbergii
7918,Wahiawa Bog colicwood,Myrsine,helleri
7919,Kauai colicwood,Myrsine,kauaiensis
7920,Kokee colicwood,Myrsine,knudsenii
7921,Lanai colicwood,Myrsine,lanaiensis
7922,kolea lau nui,Myrsine,lessertiana
7923,Hanapepe River colicwood,Myrsine,mezii
7924,swamp colicwood,Myrsine,petiolata
7925,Molokai colicwood,Myrsine,pukooensis
7926,kokea lau lii,Myrsine,sandwicensis
7927,colicwood,Myrsine,spp.
7928,Mt. Kahili colicwood,Myrsine,wawraea
7929,Myrsine palauensis,Myrsine,palauensis
7932,Nectandra coriacea,Nectandra,coriacea
7933,shinglewood,Nectandra,hihua
7934,Nectandra krugii,Nectandra,krugii
7935,Nectandra membranacea,Nectandra,membranacea
7936,Nectandra patens,Nectandra,patens
7939,Nectandra turbacensis,Nectandra,turbacensis
7940,saltwood,Neea,buxifolia
7942,fao,Neisosperma,oppositifolia
7944,kadam,Neolamarckia,cadamba
7946,aquilon,Neolaugeria,resinosa
7948,afa,Neonauclea,forsteri
7952,Rambutan,Nephelium,lappaceum
7953,pulasan,Nephelium,ramboutan-ake
7954,maaloa,Neraudia,melastomifolia
7956,oleander,Nerium,oleander
7958,keahi,Nesoluma,polynesicum
7960,Hawaii olive,Nestegis,sandwicensis
7961,nestegis,Nestegis,spp.
7962,"kalm, aralm",Neuburgia,celebica
7964,tree tobacco,Nicotiana,glauca
7965,tobacco,Nicotiana,spp.
7966,smallflower aiea,Nothocestrum,breviflorum
7967,broadleaf aiea,Nothocestrum,latifolium
7968,longleaf aiea,Nothocestrum,longifolium
7969,Oahu aiea,Nothocestrum,peltatum
7970,aiea,Nothocestrum,spp.
7971,kaala rockwort,Nototrichium,humile
7972,Hawaii rockwort,Nototrichium,sandwicense
7974,"toechel, teuechel",Nypa,fruticans
7976,African bird's-eye bush,Ochna,mossambicensis
7977,ochna,Ochna,spp.
7978,Thomas birds-eye bush,Ochna,thomasiana
7980,Ochroma pyramidale,Ochroma,pyramidale
7982,holei,Ochrosia,compta
7983,island yellowwood,Ochrosia,haleakalae
7984,Kauai yellowwood,Ochrosia,kauaiensis
7985,Hawaii yellowwood,Ochrosia,kilaueaensis
7986,yellowwood,Ochrosia,spp.
7987,langiti,Ochrosia,mariannensis
7990,laurel espada,Ocotea,floribunda
7991,black sweetwood,Ocotea,foeniculacea
7994,loblolly sweetwood,Ocotea,leucoxylon
7996,nemoca,Ocotea,moschata
7997,laurel sassafras,Ocotea,nemodaphne
7999,laurel de paloma,Ocotea,portoricensis
8000,oleandra fern,Oleandra,neriiformis
8001,nemoca cimarrona,Ocotea,spathulata
8003,Wright's laurel canelon,Ocotea,wrightii
8004,olive,Olea,europaea
8007,olive,Olea,spp.
8008,fanuamamala,Homalanthus,acuminatus
8009,fanuamamala,Homalanthus,nutans
8010,Homalanthus,Homalanthus,spp.
8011,Ophiorrhiza palauensis,Ophiorrhiza,palauensis
8013,cochineal nopal cactus,Opuntia,cochenillifera
8014,tuna cactus,Opuntia,ficus-indica
8015,common pricklypear,Opuntia,monacantha
8018,pricklypear,Opuntia,spp.
8019,"amansis, edebsungelked, necklace bead tree",Ormosia,calavensis
8020,peronia,Ormosia,krugii
8022,kesiamel,Osmoxylon,oliveri
8023,kesiamel,Osmoxylon,pachyphyllum
8024,Osmoxylon,Osmoxylon,spp.
8027,pincho palo de rosa,Ottoschulzia,rhodoxylon
8029,chicharron amarillo,Ouratea,ilicifolia
8030,abey amarillo,Ouratea,littoralis
8032,guanabanilla,Ouratea,striata
8033,blacklancewood,Oxandra,lanceolata
8034,haya,Oxandra,laurifolia
8036,"miich era ngebard, guiana chestnut",Pachira,aquatica
8037,wild chestnut,Pachira,insignis
8044,gasu,Palaquium,stehlinii
8045,tafetan,Palicourea,alpina
8047,red cappel,Palicourea,crocea
8049,Palicourea croceoides,Palicourea,croceoides
8051,showy cappel,Palicourea,guianensis
8053,Pandanus japensis,Pandanus,japensis
8054,chertochet,Pandanus,aimiriikensis
8055,matal,Pandanus,cominsii
8056,ongor,Pandanus,compressus
8057,silaue,Pandanus,cylindricus
8058,kienpel,Pandanus,dilatatus
8059,ongor,Pandanus,divergens
8060,pahong,Pandanus,dubius
8061,ongor,Pandanus,duriocarpus
8062,moak,Pandanus,enchabiensis
8063,hara,Pandanus,fischerianus
8064,aggag,Pandanus,fragrans
8065,nenketak,Pandanus,hosinoi
8066,pacheren,Pandanus,jaluitensis
8067,buuk,Pandanus,kanehirae
8068,siu,Pandanus,korrensis
8069,lakatwa,Pandanus,lakatwa
8070,"erwan, jonmouia",Pandanus,laticanaliculatus
8071,"intekul, pasyure",Pandanus,macrocephalus
8072,"ongor, ertochet",Pandanus,macrojeanneretia
8073,menne,Pandanus,menne
8074,Palaquium karrak,Palaquium,karrak
8075,Pandanus odontoides,Pandanus,odontoides
8076,"ongor, ertochet",Pandanus,palawensis
8077,peet,Pandanus,patina
8078,ongor,Pandanus,peliliuensis
8079,"alwan, kipal, taip",Pandanus,ponapensis
8080,"deipw, jomineia",Pandanus,pulposus
8081,pathaplip,Pandanus,rectangulatus
8082,fasa,Pandanus,reineckei
8083,magojokojok,Pandanus,rotundatus
8084,screwpine,Pandanus,spp.
8085,Tahitian screwpine,Pandanus,tectorius
8086,kiparenwel,Pandanus,tolotomensis
8087,mojel,Pandanus,trukensis
8088,common screwpine,Pandanus,utilis
8090,berrakelongor,Pandanus,variegatus
8091,rauel,Pangium,edule
8092,"lonlin, lajokorer",Pandanus,obliquus
8099,scratchthroat,Parathesis,crenulata
8103,sea,Parinari,insularum
8104,ais,Parinari,laurina
8105,Parinari,Parinari,spp.
8106,parkia,Parkia,spp.
8107,Parkia korom,Parkia,korom
8108,kmekumer,Parkia,parvifoliola
8110,Parkia timoriana,Parkia,timoriana
8111,Jerusalem thorn,Parkinsonia,aculeata
8112,paloverde,Parkinsonia,spp.
8113,cuachilote,Parmentiera,aculeata
8114,candle tree,Parmentiera,cereifera
8115,Texas paloverde,Parkinsonia,texana
8121,Peltophorum pterocarpum,Peltophorum,pterocarpum
8123,ngis,Pemphis,acidula
8125,butter tree,Pentadesma,butyracea
8127,jiqi,Pera,bumeliifolia
8129,Pericopsis mooniana,Pericopsis,mooniana
8131,olomea,Perrottetia,sandwicensis
8134,canela,Persea,krugii
8138,aquacatillo,Persea,urbaniana
8141,bastard stopper,Petitia,domingensis
8143,aquilon prieto,Phialanthus,grandifolius
8144,candlewood,Phialanthus,myrtilloides
8146,Phaleria nisidai,Phaleria,nisidai
8150,pygmy date palm,Phoenix,roebelenii
8151,Canary Island date palm,Phoenix,canariensis
8152,date palm,Phoenix,dactylifera
8153,date palm,Phoenix,spp.
8154,date palm,Phoenix,sylvestris
8155,Chinese  photinia,Photinia,davidiana
8156,Fraser's photinia,Photinia,xfraseri
8157,Tahitian gooseberry tree,Phyllanthus,acidus
8159,pamakani mahu,Phyllanthus,distichus
8160,gamo de costa,Phyllanthus,juglandifolius
8162,Phyllanthus orbicularis,Phyllanthus,orbicularis
8164,Florida bitterbush,Picramnia,pentandra
8167,bitterwood,Picrasma,excelsa
8169,fustic,Pictetia,aculeata
8171,aceitillo,Pilocarpus,racemosus
8173,Royen's tree cactus,Pilosocereus,royenii
8175,allspice,Pimenta,dioica
8177,bayrumtree,Pimenta,racemosa
8178,bayrumtree,Pimenta,racemosa
8180,Pimenta,Pimenta,spp.
8181,"chebouch, demailei",Pinanga,insignis
8183,Caribbean pine,Pinus,caribaea
8184,Chinese red pine,Pinus,massoniana
8185,Merkus pine,Pinus,merkusii
8186,ocote chino,Pinus,oocarpa
8187,Mexican weeping pine,Pinus,patula
8188,maritime pine,Pinus,pinaster
8189,Japanese red pine,Pinus,densiflora
8190,higuillo de hoja menuda,Piper,aduncum
8191,higuillo de limon,Piper,amalago
8192,moth pepper,Piper,blattarum
8193,Guyanese pepper,Piper,glabrescens
8194,Jamaican pepper,Piper,hispidum
8195,Caracas pepper,Piper,jacquemontianum
8196,marigold pepper,Piper,marginatum
8197,five-needle pine,Pinus,parviflora
8198,Japansese Black pine,Pinus,thunbergii
8199,spanish elder,Piper,swartzianum
8200,Bunge's pine,Pinus,bungeana
8201,Canary Island pine,Pinus,canariensis
8202,aleppo pine,Pinus,halepensis
8203,Italian stone pine,Pinus,pinea
8205,Waimea pipturus,Pipturus,albidus
8206,soga,Pipturus,argenteus
8207,pipturus,Pipturus,spp.
8208,stinkwood,Piscidia,carthagenensis
8210,piscidia,Piscidia,spp.
8211,corcho bobo,Pisonia,albida
8212,Australasian catchbirdtree,Pisonia,brunoniana
8213,grand devils-claws,Pisonia,grandis
8214,aulu,Pisonia,sandwicensis
8215,catchbirdtree,Pisonia,spp.
8216,water mampoo,Pisonia,subcordata
8217,umbrella catchbirdtree,Pisonia,umbellifera
8218,Kauai catchbirdtree,Pisonia,wagneriana
8219,Chinese pistache,Pistacia,chinensis
8220,monkeypod,Pithecellobium,dulce
8222,Japanese cheesewood,Pittosporum,tobira
8223,catclaw blackbead,Pithecellobium,unguis-cati
8224,"Mona cheesewood, Pittosporum",Pittosporum,monae
8225,kamal,Pittosporum,ferrugineum
8226,Hawaii poisonberry tree,Pittosporum,argentifolium
8227,hoawa,Pittosporum,confertiflorum
8228,Waianae Range cheesewood,Pittosporum,flocculosum
8229,Waialeale cheesewood,Pittosporum,gayanum
8230,Koolau Range cheesewood,Pittosporum,glabrum
8231,hoawa,Pittosporum,halophilum
8232,Hawaii cheesewood,Pittosporum,hawaiiense
8233,Kona cheesewood,Pittosporum,hosmeri
8234,Kauai cheesewood,Pittosporum,kauaiense
8235,royal cheesewood,Pittosporum,napaliense
8236,Taiwanese cheesewood,Pittosporum,pentandrum
8238,cheesewood,Pittosporum,spp.
8239,cream cheesewood,Pittosporum,terminalioides
8240,Australian cheesewood,Pittosporum,undulatum
8241,cape cheesewood,Pittosporum,viridiflorum
8242,alaa,Planchonella,garberi
8243,alaa,Planchonella,grayana
8244,alaa,Planchonella,linggensis
8246,mamalava,Planchonella,samoensis
8247,Planchonella,Planchonella,spp.
8248,mamalava,Planchonella,torricellensis
8249,Oriental arborvitae,Platycladus,orientalis
8250,Hawaii pilo kea,Platydesma,remyi
8251,Maui pilo kea,Platydesma,spathulata
8252,platydesma,Platydesma,spp.
8253,London planetree,Platanus,hybrida
8254,Oriental planetree,Platanus,orientalis
8255,chupa gallo,Pleodendron,macranthum
8256,Mexican sycamore,Platanus,mexicana
8257,golden hala pepe,Pleomele,aurea
8258,Maui hala pepe,Pleomele,auwahiensis
8259,Lanai hala pepe,Pleomele,fernaldii
8260,Waianae Range hala pepe,Pleomele,forbesii
8261,royal hala pepe,Pleomele,halapepe
8262,Hawaii hala pepe,Pleomele,hawaiiensis
8263,hala pepe,Pleomele,spp.
8266,nosegaytree,Plumeria,alba
8268,Singapore graveyard flower,Plumeria,obtusa
8269,Plumeria obtusa,Plumeria,obtusa
8271,templetree,Plumeria,rubra
8272,Plumeria,Plumeria,spp.
8273,yucca plum pine,Podocarpus,coriaceus
8274,yew plum pine,Podocarpus,macrophyllus
8275,Poitea florida,Poitea,florida
8276,Poitea punicea,Poitea,punicea
8279,violet tree,Polygala,cowellii
8280,crevajosa,Polygala,penaea
8283,bungaruau,Polyscias,grandifolia
8284,geranium aralia,Polyscias,guilfoylei
8285,Polyscias macgillivrayi,Polyscias,macgillivrayi
8286,bngei,Polyscias,nodosa
8287,tagitagi,Polyscias,samoensis
8288,shield aralia,Polyscias,scutellaria
8289,Polyscias,Polyscias,spp.
8290,tava,Pometia,pinnata
8292,kattai,Ponapea,hosinoi
8293,Ponapea ledermanniana,Ponapea,ledermanniana
8294,Ponapea,Ponapea,spp.
8295,kisaks,Pongamia,pinnata
8296,hardy orange,Poncirus,trifoliata
8297,Abiu,Pouteria,caimito
8298,"elangel, chelangel",Pouteria,calcarea
8299,eggfruit,Pouteria,campechiana
8300,cocuyo,Pouteria,dictyoneura
8301,redmammee,Pouteria,hotteana
8302,bullytree,Pouteria,multiflora
8303,lalahag,Pouteria,obovata
8304,alaa,Pouteria,sandwicensis
8305,mammee sapote,Pouteria,sapota
8306,pouteria,Pouteria,spp.
8307,ahgao,Premna,obtusifolia
8308,Premna pubescens,Premna,pubescens
8309,aloalo,Premna,serratifolia
8310,Premna,Premna,spp.
8311,Prestoea acuminata,Prestoea,acuminata
8313,Carolina poplar,Populus,x canadensis
8314,gray poplar,Populus,x canescens
8315,Hawaii pritchardia,Pritchardia,affinis
8316,Maui pritchardia,Pritchardia,arecina
8317,Kilauea pritchardia,Pritchardia,beccariana
8318,Mt. Eke pritchardia,Pritchardia,forbesiana
8319,Makaleha pritchardia,Pritchardia,hardyi
8320,loulu lelo,Pritchardia,hillebrandii
8321,Waianae Range pritchardia,Pritchardia,kaalae
8322,Lanai pritchardia,Pritchardia,lanaiensis
8323,loulu,Pritchardia,lanigera
8324,Limahuli Valley pritchardia,Pritchardia,limahuliensis
8325,Molokai pritchardia,Pritchardia,lowreyana
8326,Koolau Range pritchardia,Pritchardia,martii
8327,Alakai Swamp pritchardia,Pritchardia,minor
8328,Kamalo pritchardia,Pritchardia,munroi
8329,fan palm,Pritchardia,pacifica
